
('171263203',  '940984',  '575001 (210-596),',  'MFAGE-DAMR',  '',  '',  '94765068',  ' BS5 / BS14 / BS15 & TR POLICIES ARE OC ONLY.1AVN - NCR 07-18 - S&TE - DAMR - SN 575001 / 1AVN - NCR 14-18 - S&TE - DAMR - SN 575001 1AVN - NCR 21-18 - S&TE - DAMR - SN 575001 BS11 1AVN - MIER 07-18 - S&TE - DAMR - SN 575001 BS11Fire Extinguisher S/N: 006573 - shelf date 04/18particle counter - 991349630',  '',  '106975904',  '',  FALSE,  ''),
('171263203',  '940984',  '575002 (210-597),',  'MFAGE-DAMR',  '',  '23',  '94765068',  ' >>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5 / BS14 / BS15 & TR POLICIES ARE OC ONLY.1AVN - NCR 08-18 - S&TE - DAMR - SN 575002/ 1AVN - NCR 15-18 - S&TE - DAMR - SN 575002Fire Extinguisher S/N: 007152 - Shelf date: 04/18particle counter - 991349630 EMIFIX JACK RAISED 23/01/20',  '',  '106975905',  '',  FALSE,  ''),
('171263203',  '940984',  '575003 (210-598),',  'MFAGE-DAMR',  '',  '',  '94765068',  ' >>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5 / BS14 / BS15  &  TR POLICIES ARE OC ONLY.PARTICLE COUNTER CHANGED 11//12/18Fire extinguisher S/N: 014622 - Shelf date: 07/18particle counter - 991349630   ',  '  ',  '1AVN-575003210-598',  '',  FALSE,  ''),
('171263203',  '940984',  '575004 (210-599),',  'MFAGE-DAMR',  '',  '',  '94765068',  ' >>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5 / BS14 / BS15 & TR POLICIES ARE OC ONLY.Fire Exinguisher S/N: 006775 - Shelf Date 04/181AVN - NCR 10-18 - S&TE - DAMR - SN 575004 / 1AVN - NCR 17-18 - S&TE - DAMR - SN 575004 CALparticle counter - 991349630    ORDER PARTICAL COUNTER FOR BS8 & BS11 & DAMR CONSUMABLES',  '',  '106975907',  '',  FALSE,  ''),
('171263203',  '940984',  '575005 (210-600),',  'MFAGE-DAMR',  '',  '',  '94765068',  ' >>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5 / BS14 / BS15 & TR POLICIES ARE OC ONLY.Fire Extinguisher S/N: 014587 - Shelf date: 07/18JACK DUE 19/12/19particle counter - 991349630 EMIFIX JACK RAISED 23/01/20',  '',  '1AVN-575005210-600',  '',  TRUE,  ''),
('171263203',  '940984',  '575006 (210-601),',  'MFAGE-DAMR',  '',  '',  '94765068',  'Item requires BS7 >>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5/ BS7 GREASE KIT IN H-10 F / BS14 / BS15  &  TR POLICIES ARE OC ONLY.Fire Extinguisher S/N: 007158 - Shelf date 04/18JACK DUE DEC19particle counter - 991349630    EMIFIX JACK RAISED 23/01/20',  'Particle Counter ordered 210120 for March BS9PO request 20/02/20 RP for BS9 and BS13',  '106975909',  '',  FALSE,  ''),
('171263203',  '940984',  '575007 (210-602),',  'MFAGE-DAMR',  '',  '',  '94765068',  '>>>>>>>> BS7 GREASE KIT LOC H-10F<<<<<<<< BS5 / BS14 / BS15 & TR POLICIES ARE OC ONLY.Fire Extinguisher S/N: 014959 - Shelf Date: 07/18particle counter - 991349630',  '',  '106975910',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '237 (REG#208069),',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  ' RP  OEM: APM; MODEL: G18; NCAGE: ; MATERIAL: 1574053; OWNER: 161MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  '',  '101509350',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '236 (REG#208068),',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  'MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  '',  '101635386',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '313 (REG#208557),',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  'MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  '',  '102331724',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '319',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  'MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  '',  '102356152',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '235',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  'MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  '',  '1AVN-1002213215',  '',  FALSE,  ''),
('661577309',  'OR45D-4-400',  '318 (REG # 208558),',  'GROUND POWER UNIT (GPU),',  '',  '',  '94765068',  'refer to CONDITION - 1 AVN REGT - 144 -19 - GSE - GPU - SN318 HGRS OEM: APM; MODEL: G18; NCAGE: ; MATERIAL: 1574053; OWNER: 161MS1 IS BEFORE USEMS2 IS AFTER 12 YRS OF SERVICEMS3 IS HIGH USE CONDITIONSMS6 IS AT 3000 ENHRS',  'PO requested for MS8 & MS6 22/01/20Sent to Airbus 190220 RP',  '102331725',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-001',  'HYDRAULIC POWER UNIT HANNS',  '',  '2125',  '94765068',  'MILIS S/N: HC-4225A-01 BS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  '',  '102230341',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-002',  'HYDRAULIC POWER UNIT HANNS',  '',  '2125',  '94765068',  ' MILIS S/N: HC-4225A-002 OWNER: TSSBS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  'Po requested for BS9 due 190220 - Sent to Airbus 27/02/20',  '102607463',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-003',  'HYDRAULIC POWER UNIT HANNS',  '',  'GSERD 2125',  '94765068',  'due opunit MILIS S/N: HC-4225A-003 BS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  'Sent to Airbus 11/02/20 RP. BS2 to be completed on return',  '102607464',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-005',  'HYDRAULIC POWER UNIT HANNS',  '',  'GSERD 2125',  '94765068',  'Due opunit MILIS S/N: 4225A-05 OEM: FITZROY; MODEL: ; NCAGE: E1238; MATERIAL: 1686540; OWNER:162BS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  'Awaitings BS2 28/01/20',  '104148238',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-006',  'HYDRAULIC POWER UNIT HANNS',  '',  'GSERD 2125',  '94765068',  'Due opunit - MILIS S/N: 4225A-006 OEM: FITZROY; MODEL: ; NCAGE: E1238; MATERIAL: 1686540; OWNER: TSS - Batteries replaced 22/10/2019BS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  'Sent to Airbus for BS9 and Cal 200120',  '104148239',  '',  FALSE,  ''),
('982073575',  'FEGL-HC-4225A',  '4225A-004',  'HYDRAULIC POWER UNIT HANNS',  '',  'GSERD 2125',  '94765068',  'Due Calibration Sent to Airbus 15/10/19  BS1 IS BEFORE OPERATIONBS3 IS ON CONDITIONTR',  '',  '102638581',  '',  FALSE,  ''),
('982064596',  'FEGL-HC-4106',  '4106-003',  'HYDRAULIC POWER UNIT ELECTRIC',  '',  '',  '94765068',  '',  '',  '101669308',  '',  '',  ''),
('0',  'T082J4001101',  '830598',  '1553 BUS ACQUISITION CABLE',  '',  '',  '',  '',  '  ',  '1AVN-1002211188',  '',  FALSE,  ''),
('0',  'APM1553',  '203',  '1553 BUS ACQUISITION CABLE',  '',  '',  '',  '',  '  ',  '1AVN-1002211284',  '',  FALSE,  ''),
('0',  'T082J4001101',  '830599',  '1553 BUS ACQUISITION CABLE',  '',  '',  '',  '',  '  ',  '1002211960',  '100962400',  FALSE,  ''),
('0',  'N/A',  'KIT 01',  'DET CORD BLANK KIT',  '',  '',  'NOT ON MILIS',  '',  'Missing a set of 4 blanks. U/S tag 108 located in A-1B  QTY 1 SET ISSUED TO EX BROLGA FOR C-17 LOAD.',  '1AVN-1002213004',  '',  FALSE,  ''),
('0',  'N/A',  '1',  'KY100 BATTERY TESTER',  '',  '',  'X CLASS',  '',  '  Custom made.SN: 2 & 3 ARE LOCATED IN FLIGHTLINE CTK AND ART',  '1AVN-1002213181',  '',  FALSE,  ''),
('1',  'N/A',  'N/A',  'DAMR Shoring',  '',  'N/A',  '',  '',  '  ',  '1AVN-1002212703',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '1',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  ',  '1AVN-1002212704',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '2',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  ',  '1AVN-1002212705',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '3',  'DAMR Towing Adaptor',  '',  'N/A',  '',  '',  '  ',  '1AVN-1002212706',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '4',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  ',  '1AVN-1002212707',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '5',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  ',  '1AVN-1002212708',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '6',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  ',  '1AVN-1002212709',  '',  FALSE,  ''),
('2',  'TTMU0500-1',  '7',  'DAMR Towing Adaptor',  '',  'N/A',  'NOT ON MILIS',  '',  '  QUICK RELEASE PIN 010144461',  '1AVN-1002212710',  '',  FALSE,  ''),
('4',  '171221',  '2',  'DAMR CALIBRATION SET',  '',  '',  '94765068',  '',  '',  '1002212408',  '',  TRUE,  ''),
('4',  '171221',  '1',  'DAMR CALIBRATION SET',  '',  '',  '94765068',  '',  'Sent to Altrack For DAMR Calibrations 09/12/19',  '1003212408',  '',  TRUE,  '\\applicationdata\applicationdata\DATA\WFD\Pictures\000000000 DAMR CALIBRATION SET.JPG'),
('6',  'BELKIN',  '',  'MULTI CARD READER',  '',  '',  '',  '',  '  ',  '1AVN-1002212173',  '',  FALSE,  ''),
('6',  'BELKIN',  '',  'MULTI CARD READER',  '',  '',  '',  '',  '  ',  '1AVN-1002212174',  '',  FALSE,  ''),
('6',  'BELKIN',  '',  'MULTI CARD READER',  '',  '',  '',  '',  '  ',  '1AVN-1002212175',  '',  FALSE,  ''),
('7',  '379000G ++',  'KIT 1',  'GUN CLEANING KIT LARGE',  '',  '',  '94765068',  '',  '  ',  '1002212068',  '',  FALSE,  ''),
('9',  'NFM-PPE-KIT',  '1',  'NAVAL MAINTENANCE PPE KIT',  '',  '',  '94765068',  '',  '  3 BOXES item return from EX IP 2019 WILL REQUIRE FULL Q n A ON ITEMS FOUND MISSING',  '1AVN-1002212046',  '',  TRUE,  '\\userdata.rob.nor.drn.defence.mil.au\userdata\grant.jenkins\My Documents\142.jpg'),
